document_id,file_name,requirement_id,requirement_text,word_count,extraction_confidence,has_modal,has_number,testable_signal,vague_terms_found,incomplete_signals,subjective_terms_found,seed_label,seed_primary_label,human_label,human_primary_label,review_notes,llm_prediction,llm_rationale,llm_source_span,llm_rewrite,llm_confidence,accepted_by_human,text_quality_alpha_ratio
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0002,"Registration Citizens can register their complaints with police and then based on the evidence, facts and following investigation, police shall take the complaint forward.",24,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.847953216374269
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0008,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.,23,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8506493506493507
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0009,The help should be accessible to the users both in the offline and online mode,15,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8205128205128205
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0010,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,22,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8394160583941606
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0011,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert",26,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7744360902255639
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0012,The solution should enable the user to track the submitted defect or enhancement request.,14,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8426966292134831
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0013,"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and agewise.",25,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8258064516129032
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0014,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,23,high,True,False,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.8456375838926175
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0016,The System must keep an unalterable audit trail capable of automatically capturing and storing information about:,16,high,True,False,False,about,trailing_colon,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8584070796460177
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0018,"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",25,high,True,False,False,about,,,ambiguity,ambiguity,,,,,,,,,,0.8363636363636363
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0019,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",27,high,True,False,True,,,,clean,clean,,,,,,,,,,0.7894736842105263
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0020,"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",47,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8243727598566308
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0021,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System).,21,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8145161290322581
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0023,The System must be able to capture and store violations (i.e.,12,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7868852459016393
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0025,The System must at a minimum be able to provide reports for actions on cases organised:,16,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8160919540229885
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0026,The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.,22,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.8356164383561644
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0027,The System must allow the user to limit access to cases to specified users or user groups.,17,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8111111111111111
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0028,The system should provide for role-based control for the functionality within,12,high,True,False,True,,,,clean,clean,,,,,,,,,,0.8571428571428571
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0029,The System must allow a user to be a member of more than one group.,15,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.7761194029850746
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0030,The System must allow only admin-users to set up user profiles and allocate users to groups.,17,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8152173913043478
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0031,The System should allow a user to stipulate which other users or groups can access cases.,16,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8202247191011236
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0032,"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management)",23,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.83125
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0033,"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses",29,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.7960526315789473
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0037,the most stringent) implies that the System must not include such cases in any count of search results;,18,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8155339805825242
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0038,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",31,high,True,False,False,quick,,quick,ambiguity; non_testability,ambiguity,,,,,,,,,,0.803680981595092
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0039,"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.",20,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8108108108108109
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0040,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",36,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8203883495145631
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0041,"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them.",27,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.8095238095238095
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0044,"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.",29,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8051948051948052
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0045,"The System must be able to display several entities (cases, suspects) simultaneously.",12,high,True,False,False,several,,,ambiguity,ambiguity,,,,,,,,,,0.8235294117647058
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0046,The interfaces must be made customizable or user-configurable to the extent possible.,13,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8470588235294118
